category_id,sympthom_question
1,"눈이 건조하여 뻑뻑하고,가려움을 느껴요."
1,눈 주변이 떨리는 현상이 있어요.
1,핸드폰이나 컴퓨터를 본 후에 시야가 흐릿하게 느껴져요.
1,어두워지면 시력이 저하돼요.
1,선택할 것이 없지만 눈 건강이 걱정돼요.
2,복통이나 속 쓰림이 자주 발생해요.
2,변비가 있어요.
2,설사와 같은 묽은 변을 자주 보는 편이에요.
2,배뇨 후 소변이 남아있는 느낌(잔뇨감)이 있어요.
2,선택할 것이 없지만 소화력 개선이 필요해요.
3,허리와 무릎 등 고관절에 통증이 있어요.
3,뼈가 부러져 본 경험이 있어요.
3,평소 뼈가 약한 느낌이 있어요.
3,스테로이드를 3개월 이상 섭취한 경험이 있어요.
3,골다공증이 있거나 걱정돼요.
3,선택할 것이 없지만 관절이 걱정돼요.
4,피곤하고 전신에 힘이 없어요.
4,"구토,구역질을 자주 하고,식욕이 없어요."
4,최근에 살이 빠졌어요.
4,피부가 노랗게 보여요.
4,선택할 것이 없지만 간이 걱정돼요.
5,앉아서 일을 많이 해요.
5,최근 1년간 운동한 적이 없어요.
5,주 3회 이상 술을 마셔요.
5,전보다 아랫배가 나온 느낌이 들어요.
5,선택할 것이 없지만 다이어트를 해야될 것 같아요.
6,잠을 자고 일어나도 개운하지 않아요.
6,늘 하루가 피곤해요.
6,충분히 휴식을 취해도 피로가 풀리지 않아요.
6,선택할 것이 없지만 피로/활력 개선에 관심이 있어요.
